order,name,symbol,sector,industry,NIFTY,BANKNIFTY,NIFTYJR,CNX200,NIFTY_MID_SELECT,NIFTYSMLCAP250,NIFTY_TOTAL_MKT,CNX500,NIFTY_MICROCAP250,FO,FYERS_NAME
0,Reliance Industries Limited,RELIANCE,Energy Minerals,Oil Refining/Marketing,True,False,False,True,False,False,True,True,False,True,
1,HDFC Bank Limited,HDFCBANK,Finance,Major Banks,True,True,False,True,False,False,True,True,False,True,
2,Bharti Airtel Limited,BHARTIARTL,Communications,Wireless Telecommunications,True,False,False,True,False,False,True,True,False,True,
3,State Bank of India,SBIN,Finance,Regional Banks,True,True,False,True,False,False,True,True,False,True,
4,ICICI Bank Limited,ICICIBANK,Finance,Regional Banks,True,True,False,True,False,False,True,True,False,True,
5,Tata Consultancy Services Limited,TCS,Technology Services,Information Technology Services,True,False,False,True,False,False,True,True,False,True,
6,Bajaj Finance Limited,BAJFINANCE,Finance,Finance/Rental/Leasing,True,False,False,True,False,False,True,True,False,True,
7,Larsen & Toubro Limited,LT,Industrial Services,Engineering & Construction,True,False,False,True,False,False,True,True,False,True,
8,Infosys Limited,INFY,Technology Services,Information Technology Services,True,False,False,True,False,False,True,True,False,True,
9,Hindustan Unilever Limited,HINDUNILVR,Consumer Non-Durables,Household/Personal Care,True,False,False,True,False,False,True,True,False,True,
10,Life Insurance Corp. of India,LICI,Finance,Life/Health Insurance,False,False,False,False,True,False,True,True,False,True,
11,Maruti Suzuki India Limited,MARUTI,Consumer Durables,Motor Vehicles,True,False,False,True,False,False,True,True,False,True,
12,Axis Bank Limited,AXISBANK,Finance,Major Banks,True,True,False,True,False,False,True,True,False,True,
13,Sun Pharmaceutical Industries Limited,SUNPHARMA,Health Technology,Pharmaceuticals: Major,True,False,False,True,False,False,True,True,False,True,
14,Mahindra & Mahindra Ltd.,M&M,Consumer Durables,Motor Vehicles,True,False,False,True,False,False,True,True,False,True,
15,Titan Company Limited,TITAN,Consumer Durables,Other Consumer Specialties,True,False,False,True,False,False,True,True,False,True,
16,HCL Technologies Limited,HCLTECH,Technology Services,Information Technology Services,True,False,False,True,False,False,True,True,False,True,
17,ITC Limited,ITC,Consumer Non-Durables,Tobacco,True,False,False,True,False,False,True,True,False,True,
18,Kotak Mahindra Bank Limited,KOTAKBANK,Finance,Major Banks,True,True,False,True,False,False,True,True,False,True,
19,NTPC Limited,NTPC,Utilities,Electric Utilities,True,False,False,True,False,False,True,True,False,True,
20,Oil & Natural Gas Corp. Ltd.,ONGC,Energy Minerals,Oil Refining/Marketing,True,False,False,True,False,False,True,True,False,True,
21,UltraTech Cement Limited,ULTRACEMCO,Non-Energy Minerals,Construction Materials,True,False,False,True,False,False,True,True,False,True,
22,Adani Ports & Special Economic Zone Ltd,ADANIPORTS,Transportation,Other Transportation,True,False,False,True,False,False,True,True,False,True,
23,Adani Power Limited,ADANIPOWER,Utilities,Electric Utilities,False,False,True,True,False,False,True,True,False,True,
24,Bharat Electronics Limited,BEL,Electronic Technology,Aerospace & Defense,True,False,False,True,False,False,True,True,False,True,
25,JSW Steel Limited,JSWSTEEL,Non-Energy Minerals,Steel,True,False,False,True,False,False,True,True,False,True,
26,Bajaj Finserv Limited,BAJAJFINSV,Finance,Life/Health Insurance,True,False,False,True,False,False,True,True,False,True,
27,Avenue Supermarts Ltd.,DMART,Retail Trade,Specialty Stores,False,False,True,True,False,False,True,True,False,True,
28,Vedanta Limited,VEDL,Non-Energy Minerals,Aluminum,False,False,True,True,False,False,True,True,False,True,
29,Coal India Ltd.,COALINDIA,Energy Minerals,Coal,True,False,False,True,False,False,True,True,False,True,
30,Power Grid Corporation of India Limited,POWERGRID,Utilities,Alternative Power Generation,True,False,False,True,False,False,True,True,False,True,
31,Adani Enterprises Limited,ADANIENT,Distribution Services,Wholesale Distributors,True,False,False,True,False,False,True,True,False,True,
32,Bajaj Auto Limited,BAJAJ-AUTO,Consumer Durables,Motor Vehicles,True,False,False,True,False,False,True,True,False,True,
33,Hindustan Aeronautics Limited,HAL,Electronic Technology,Aerospace & Defense,False,False,True,True,False,False,True,True,False,True,
34,Tata Steel Limited,TATASTEEL,Non-Energy Minerals,Steel,True,False,False,True,False,False,True,True,False,True,
35,Hindustan Zinc Limited,HINDZINC,Non-Energy Minerals,Other Metals/Minerals,False,False,True,True,False,False,True,True,False,True,
36,Eternal Limited,ETERNAL,Technology Services,Internet Software/Services,True,False,False,True,False,False,True,True,False,True,
37,Nestle India Ltd.,NESTLEIND,Consumer Non-Durables,Food: Major Diversified,True,False,False,True,False,False,True,True,False,True,
38,Asian Paints Ltd.,ASIANPAINT,Process Industries,Industrial Specialties,True,False,False,True,False,False,True,True,False,True,
39,Hindalco Industries Limited,HINDALCO,Non-Energy Minerals,Other Metals/Minerals,True,False,False,True,False,False,True,True,False,True,
40,Wipro Limited,WIPRO,Technology Services,Information Technology Services,True,False,False,True,False,False,True,True,False,True,
41,Indian Oil Corp. Ltd.,IOC,Energy Minerals,Integrated Oil,False,False,True,True,False,False,True,True,False,True,
42,Eicher Motors Limited,EICHERMOT,Consumer Durables,Motor Vehicles,True,False,False,True,False,False,True,True,False,True,
43,Shriram Finance Limited,SHRIRAMFIN,Finance,Finance/Rental/Leasing,True,False,False,True,False,False,True,True,False,True,
44,SBI Life Insurance Co. Ltd.,SBILIFE,Finance,Life/Health Insurance,True,False,False,True,False,False,True,True,False,True,
45,Grasim Industries Ltd.,GRASIM,Non-Energy Minerals,Construction Materials,True,False,False,True,False,False,True,True,False,True,
46,InterGlobe Aviation Ltd,INDIGO,Transportation,Airlines,True,False,False,True,False,False,True,True,False,True,
47,TVS Motor Company Limited 6 % Non-Con Cum Red Pfd Shs 2025-18.08.26,TVSMNCRPS.P1,Consumer Durables,Motor Vehicles,False,False,False,False,False,False,False,False,False,False,
48,TVS Motor Company Limited,TVSMOTOR,Consumer Durables,Motor Vehicles,False,False,True,True,False,False,True,True,False,True,
49,Adani Green Energy Limited,ADANIGREEN,Utilities,Electric Utilities,False,False,True,True,False,False,True,True,False,True,
50,Tata Motors Limited,TMCV,Consumer Durables,Motor Vehicles,False,False,True,True,False,False,True,True,False,False,
51,Jio Financial Services Limited,JIOFIN,Finance,Financial Conglomerates,True,False,False,True,False,False,True,True,False,True,
52,Divi's Laboratories Limited,DIVISLAB,Health Technology,Pharmaceuticals: Major,False,False,True,True,False,False,True,True,False,True,
